Name           Surname        Final (Avg.)        |    Final (Med.)
Name1          Surname1       4.40                |    4.00
Name10         Surname10      3.56                |    3.40
Name100        Surname100     1.64                |    1.40
Name1000       Surname1000    1.04                |    0.40
Name101        Surname101     4.08                |    4.00
Name102        Surname102     3.48                |    3.40
Name105        Surname105     2.80                |    2.80
Name106        Surname106     3.20                |    3.20
Name108        Surname108     2.76                |    3.00
Name109        Surname109     3.00                |    3.40
Name112        Surname112     2.16                |    2.40
Name115        Surname115     3.76                |    3.20
Name116        Surname116     3.96                |    4.20
Name117        Surname117     4.72                |    4.80
Name118        Surname118     4.00                |    4.00
Name119        Surname119     2.00                |    1.60
Name120        Surname120     1.64                |    1.40
Name121        Surname121     3.44                |    3.20
Name124        Surname124     4.64                |    4.00
Name126        Surname126     2.84                |    3.00
Name127        Surname127     3.88                |    3.40
Name128        Surname128     3.64                |    3.80
Name129        Surname129     2.12                |    1.80
Name13         Surname13      4.44                |    4.60
Name130        Surname130     1.52                |    2.00
Name132        Surname132     3.08                |    2.60
Name135        Surname135     1.80                |    1.80
Name136        Surname136     2.52                |    2.60
Name138        Surname138     4.32                |    4.80
Name139        Surname139     4.28                |    4.60
Name143        Surname143     3.64                |    3.80
Name145        Surname145     4.56                |    4.40
Name147        Surname147     2.24                |    3.20
Name149        Surname149     2.12                |    2.20
Name15         Surname15      4.12                |    3.80
Name151        Surname151     2.04                |    1.40
Name155        Surname155     3.44                |    3.20
Name159        Surname159     0.80                |    0.80
Name16         Surname16      3.00                |    3.00
Name160        Surname160     3.08                |    3.80
Name163        Surname163     2.04                |    1.40
Name165        Surname165     4.72                |    4.40
Name167        Surname167     3.92                |    4.40
Name169        Surname169     3.36                |    3.20
Name17         Surname17      4.44                |    4.60
Name171        Surname171     0.56                |    0.40
Name172        Surname172     3.20                |    2.80
Name174        Surname174     1.76                |    1.60
Name175        Surname175     2.24                |    2.40
Name176        Surname176     4.88                |    4.40
Name177        Surname177     1.76                |    1.60
Name178        Surname178     4.00                |    4.00
Name179        Surname179     3.08                |    2.20
Name180        Surname180     2.80                |    2.80
Name183        Surname183     2.80                |    2.00
Name184        Surname184     3.12                |    2.80
Name186        Surname186     1.04                |    1.20
Name187        Surname187     2.28                |    2.20
Name188        Surname188     1.36                |    1.20
Name189        Surname189     1.84                |    2.00
Name19         Surname19      3.92                |    4.40
Name190        Surname190     3.76                |    4.40
Name191        Surname191     2.92                |    3.40
Name192        Surname192     2.60                |    2.60
Name194        Surname194     3.76                |    4.00
Name196        Surname196     2.88                |    3.20
Name198        Surname198     2.16                |    2.40
Name199        Surname199     4.16                |    4.80
Name200        Surname200     3.52                |    4.00
Name204        Surname204     1.60                |    1.60
Name205        Surname205     4.36                |    4.20
Name208        Surname208     1.96                |    2.20
Name209        Surname209     3.48                |    3.80
Name21         Surname21      4.60                |    3.80
Name210        Surname210     3.16                |    3.00
Name211        Surname211     3.20                |    3.20
Name212        Surname212     2.20                |    1.40
Name214        Surname214     1.52                |    1.60
Name216        Surname216     3.00                |    3.40
Name218        Surname218     1.60                |    1.60
Name219        Surname219     1.76                |    2.80
Name220        Surname220     2.60                |    3.00
Name223        Surname223     3.68                |    4.40
Name226        Surname226     1.36                |    1.20
Name227        Surname227     1.96                |    1.80
Name23         Surname23      4.20                |    4.60
Name233        Surname233     3.64                |    3.80
Name234        Surname234     3.04                |    3.20
Name235        Surname235     4.24                |    4.40
Name24         Surname24      2.68                |    2.60
Name240        Surname240     3.72                |    3.80
Name241        Surname241     4.68                |    3.80
Name242        Surname242     4.64                |    4.80
Name243        Surname243     2.92                |    2.60
Name245        Surname245     3.64                |    3.40
Name246        Surname246     4.92                |    4.60
Name247        Surname247     2.52                |    3.00
Name250        Surname250     4.52                |    4.60
Name251        Surname251     3.72                |    3.40
Name252        Surname252     2.96                |    3.20
Name253        Surname253     2.68                |    2.60
Name255        Surname255     3.12                |    3.20
Name256        Surname256     2.20                |    1.80
Name257        Surname257     4.32                |    4.00
Name258        Surname258     3.28                |    4.00
Name259        Surname259     2.88                |    3.20
Name26         Surname26      2.56                |    2.80
Name264        Surname264     2.24                |    2.40
Name265        Surname265     0.88                |    1.20
Name266        Surname266     2.68                |    3.00
Name267        Surname267     3.72                |    4.20
Name268        Surname268     3.08                |    2.60
Name270        Surname270     2.52                |    2.60
Name272        Surname272     2.24                |    2.40
Name273        Surname273     4.00                |    3.60
Name274        Surname274     2.36                |    1.80
Name276        Surname276     3.96                |    3.40
Name281        Surname281     2.04                |    1.40
Name282        Surname282     2.92                |    3.00
Name283        Surname283     3.16                |    2.60
Name284        Surname284     3.68                |    3.60
Name285        Surname285     1.36                |    1.20
Name287        Surname287     2.88                |    2.40
Name288        Surname288     4.32                |    4.00
Name295        Surname295     1.40                |    1.00
Name296        Surname296     1.16                |    0.60
Name297        Surname297     3.92                |    4.00
Name299        Surname299     3.80                |    3.80
Name300        Surname300     4.16                |    4.00
Name302        Surname302     3.48                |    3.00
Name304        Surname304     4.32                |    4.40
Name305        Surname305     1.48                |    1.40
Name306        Surname306     2.24                |    2.00
Name308        Surname308     1.36                |    1.20
Name311        Surname311     3.32                |    3.40
Name312        Surname312     2.00                |    2.80
Name313        Surname313     2.36                |    2.60
Name314        Surname314     2.84                |    3.00
Name315        Surname315     4.12                |    4.20
Name316        Surname316     4.56                |    4.80
Name317        Surname317     3.80                |    3.80
Name319        Surname319     3.20                |    3.60
Name32         Surname32      2.92                |    2.60
Name320        Surname320     3.64                |    3.40
Name324        Surname324     4.64                |    4.40
Name329        Surname329     4.04                |    3.80
Name33         Surname33      1.56                |    1.00
Name330        Surname330     1.76                |    2.00
Name331        Surname331     3.64                |    4.60
Name333        Surname333     2.24                |    2.40
Name334        Surname334     4.32                |    4.40
Name335        Surname335     2.00                |    2.40
Name336        Surname336     2.36                |    3.00
Name337        Surname337     2.56                |    2.80
Name338        Surname338     1.52                |    1.20
Name339        Surname339     2.96                |    3.20
Name340        Surname340     2.32                |    2.40
Name345        Surname345     4.60                |    3.80
Name348        Surname348     3.04                |    3.20
Name35         Surname35      4.76                |    3.80
Name350        Surname350     3.64                |    4.20
Name352        Surname352     1.44                |    1.60
Name356        Surname356     4.24                |    4.00
Name361        Surname361     4.92                |    4.60
Name362        Surname362     4.80                |    4.80
Name363        Surname363     3.00                |    3.00
Name365        Surname365     2.40                |    1.60
Name367        Surname367     0.72                |    0.80
Name368        Surname368     1.96                |    1.80
Name369        Surname369     2.08                |    3.20
Name37         Surname37      4.24                |    4.40
Name370        Surname370     0.64                |    0.40
Name371        Surname371     2.72                |    2.40
Name373        Surname373     4.04                |    4.20
Name374        Surname374     4.80                |    4.40
Name375        Surname375     3.84                |    3.60
Name376        Surname376     1.84                |    1.20
Name377        Surname377     4.48                |    4.40
Name379        Surname379     3.24                |    4.20
Name38         Surname38      1.04                |    0.80
Name380        Surname380     4.60                |    4.60
Name382        Surname382     3.92                |    4.40
Name386        Surname386     2.68                |    2.60
Name388        Surname388     4.16                |    4.40
Name389        Surname389     3.64                |    4.20
