Name           Surname        Final (Avg.)        |    Final (Med.)
Name103        Surname103     6.92                |    7.00
Name104        Surname104     5.88                |    6.20
Name107        Surname107     7.96                |    8.20
Name11         Surname11      5.16                |    5.00
Name110        Surname110     4.84                |    5.00
Name111        Surname111     7.12                |    7.20
Name113        Surname113     7.20                |    8.00
Name114        Surname114     5.12                |    4.80
Name12         Surname12      5.52                |    5.60
Name122        Surname122     5.64                |    5.80
Name123        Surname123     5.12                |    4.80
Name125        Surname125     5.92                |    6.00
Name131        Surname131     5.32                |    5.80
Name133        Surname133     5.16                |    5.40
Name134        Surname134     6.52                |    6.20
Name137        Surname137     7.32                |    7.80
Name14         Surname14      7.72                |    7.80
Name140        Surname140     7.08                |    7.00
Name141        Surname141     5.64                |    5.40
Name142        Surname142     6.12                |    6.60
Name144        Surname144     6.48                |    7.20
Name146        Surname146     5.36                |    5.60
Name148        Surname148     5.28                |    5.20
Name150        Surname150     7.60                |    7.60
Name152        Surname152     5.20                |    6.00
Name153        Surname153     5.00                |    4.60
Name154        Surname154     4.28                |    5.00
Name156        Surname156     6.36                |    6.60
Name157        Surname157     5.28                |    6.00
Name158        Surname158     7.08                |    7.40
Name161        Surname161     6.28                |    6.20
Name162        Surname162     8.28                |    8.60
Name164        Surname164     6.36                |    6.60
Name166        Surname166     6.72                |    6.40
Name168        Surname168     5.92                |    6.00
Name170        Surname170     6.48                |    6.40
Name173        Surname173     5.00                |    4.60
Name18         Surname18      7.24                |    7.40
Name181        Surname181     4.56                |    5.20
Name182        Surname182     6.56                |    6.40
Name185        Surname185     6.40                |    6.40
Name193        Surname193     6.92                |    7.00
Name195        Surname195     5.12                |    5.60
Name197        Surname197     5.88                |    6.20
Name2          Surname2       5.56                |    5.40
Name20         Surname20      6.44                |    6.20
Name201        Surname201     5.80                |    6.20
Name202        Surname202     6.24                |    5.60
Name203        Surname203     6.60                |    6.60
Name206        Surname206     6.96                |    6.80
Name207        Surname207     7.04                |    7.20
Name213        Surname213     5.48                |    5.40
Name215        Surname215     6.72                |    6.40
Name217        Surname217     5.20                |    4.80
Name22         Surname22      5.12                |    4.40
Name221        Surname221     5.88                |    5.40
Name222        Surname222     6.36                |    6.60
Name224        Surname224     7.76                |    8.00
Name225        Surname225     5.24                |    5.40
Name228        Surname228     7.60                |    7.60
Name229        Surname229     5.52                |    6.40
Name230        Surname230     8.20                |    8.60
Name231        Surname231     4.76                |    5.40
Name232        Surname232     5.76                |    6.40
Name236        Surname236     5.16                |    5.40
Name237        Surname237     6.04                |    6.20
Name238        Surname238     5.84                |    6.80
