Name   Surname   HW1   HW2   HW3   HW4   HW5   Exam
Name1   Surname1   5   1   1   1   2   6
Name2   Surname2   0   1   3   6   7   7
Name3   Surname3   5   9   9   4   9   3
Name4   Surname4   9   5   2   4   1   0
Name5   Surname5   7   8   5   4   3   4
Name6   Surname6   1   9   4   2   5   6
Name7   Surname7   9   3   7   6   3   6
Name8   Surname8   0   3   8   1   5   5
Name9   Surname9   9   3   1   6   9   8
Name10   Surname10   0   8   2   4   8   3
Name11   Surname11   5   5   6   7   4   5
Name12   Surname12   8   7   4   0   5   6
Name13   Surname13   5   6   0   3   4   5
Name14   Surname14   6   3   2   9   9   9
Name15   Surname15   4   2   2   2   4   5
Name16   Surname16   4   0   7   1   3   3
Name17   Surname17   6   4   3   4   1   5
Name18   Surname18   7   5   9   9   8   7
Name19   Surname19   5   6   6   2   0   4
Name20   Surname20   8   0   2   2   1   9
Name21   Surname21   2   8   7   1   2   5
Name22   Surname22   2   1   2   6   8   6
Name23   Surname23   9   7   9   2   3   3
Name24   Surname24   9   9   3   0   5   1
Name25   Surname25   5   2   6   5   1   9
Name26   Surname26   9   8   3   5   7   0
Name27   Surname27   3   4   4   0   8   8
Name28   Surname28   9   5   2   3   4   9
Name29   Surname29   5   2   1   5   5   6
Name30   Surname30   9   6   1   4   6   9
Name31   Surname31   5   9   2   9   8   7
Name32   Surname32   9   5   4   9   2   1
Name33   Surname33   3   1   8   0   0   1
Name34   Surname34   4   5   0   1   6   7
Name35   Surname35   1   9   9   2   1   5
Name36   Surname36   9   6   5   7   2   6
Name37   Surname37   2   5   2   7   7   4
Name38   Surname38   5   2   1   2   3   0
Name39   Surname39   6   1   0   4   3   2
Name40   Surname40   7   4   5   8   0   8
Name41   Surname41   0   9   3   2   9   4
Name42   Surname42   3   9   0   0   8   4
Name43   Surname43   8   8   9   7   7   9
Name44   Surname44   6   5   4   4   7   1
Name45   Surname45   3   8   9   2   0   6
Name46   Surname46   6   8   2   2   7   9
Name47   Surname47   1   3   9   8   7   1
Name48   Surname48   6   7   8   9   2   3
Name49   Surname49   3   7   9   9   3   8
Name50   Surname50   9   0   4   8   1   6
Name51   Surname51   6   3   7   3   1   6
Name52   Surname52   6   7   0   7   0   6
Name53   Surname53   2   6   9   3   6   9
Name54   Surname54   5   1   1   5   0   5
Name55   Surname55   3   0   1   8   6   5
Name56   Surname56   7   3   1   4   7   9
Name57   Surname57   5   5   0   9   8   5
Name58   Surname58   5   2   6   2   0   2
