Name   Surname       HW1  HW2  HW3  HW4  HW5 Exam
 Name1   Surname1         5    0    4    1    5    4
Name2   Surname2         4    4    4    9    4    5
Name3   Surname3         2    8    5    1    9    9
Name4   Surname4         3    0    1    1    9    2
Name5   Surname5         5    0    8    9    2    4
Name6   Surname6         7    1    5    5    0    3
Name7   Surname7         7    5    6    4    7    7
Name8   Surname8         1    8    3    8    7    2
Name9   Surname9         7    3    9    2    4    0
Name10   Surname10         7    0    2    0    4    5
Name11   Surname11         0    2    0    8    4    9
Name12   Surname12         4    3    0    1    1    0
Name13   Surname13         2    4    8    2    0    7
Name14   Surname14         7    0    9    1    3    6
Name15   Surname15         4    8    6    6    7    9
Name16   Surname16         0    6    5    4    1    0
Name17   Surname17         3    3    8    3    7    2
Name18   Surname18         0    1    8    5    1    0
Name19   Surname19         2    8    5    1    3    0
Name20   Surname20         2    2    6    2    9    0
Name21   Surname21         5    3    0    6    7    8
Name22   Surname22         8    2    5    1    9    2
Name23   Surname23         3    3    5    7    7    3
Name24   Surname24         4    3    1    4    8    5
Name25   Surname25         6    5    4    3    2    9
Name26   Surname26         0    8    0    2    8    6
Name27   Surname27         6    7    6    9    1    1
Name28   Surname28         3    6    7    9    3    1
Name29   Surname29         9    6    1    6    4    5
Name30   Surname30         2    8    4    6    4    9
Name31   Surname31         3    1    4    9    4    7
Name32   Surname32         3    2    9    2    8    7
Name33   Surname33         6    5    5    3    2    9
Name34   Surname34         8    3    5    4    8    9
Name35   Surname35         6    0    7    1    7    2
Name36   Surname36         1    4    2    8    8    3
Name37   Surname37         7    3    3    4    0    3
Name38   Surname38         0    4    4    1    8    0
Name39   Surname39         9    5    8    5    9    4
Name40   Surname40         4    2    6    4    9    1
Name41   Surname41         6    5    9    1    3    4
Name42   Surname42         1    6    9    7    7    2
Name43   Surname43         0    9    2    6    5    9
Name44   Surname44         8    3    7    9    3    8
Name45   Surname45         0    9    3    2    9    3
Name46   Surname46         8    0    8    8    6    9
Name47   Surname47         4    7    4    3    9    9
Name48   Surname48         0    1    0    3    3    8
Name49   Surname49         4    5    1    1    4    0
Name50   Surname50         6    6    5    9    8    8
Name51   Surname51         1    6    1    4    6    0
Name52   Surname52         9    6    3    7    7    8
Name53   Surname53         6    1    2    5    5    7
Name54   Surname54         3    0    9    9    0    4
Name55   Surname55         9    9    5    9    9    5
Name56   Surname56         2    3    1    4    4    9
Name57   Surname57         3    1    3    4    6    7
Name58   Surname58         3    5    5    3    2    2
Name59   Surname59         8    8    1    8    9    9
Name60   Surname60         0    8    5    7    7    1
Name61   Surname61         5    4    5    3    5    3
Name62   Surname62         4    9    9    1    6    4
Name63   Surname63         4    8    0    1    8    7
Name64   Surname64         3    0    4    6    7    3
Name65   Surname65         5    8    9    4    1    0
Name66   Surname66         9    5    8    0    7    0
Name67   Surname67         4    0    4    7    4    9
Name68   Surname68         1    4    5    9    1    2
Name69   Surname69         4    1    6    3    8    6
Name70   Surname70         4    8    0    7    4    0
Name71   Surname71         0    8    3    4    7    8
Name72   Surname72         8    6    8    5    2    4
Name73   Surname73         1    2    6    6    8    6
Name74   Surname74         6    1    0    5    8    0
Name75   Surname75         5    5    0    7    7    1
Name76   Surname76         7    8    7    9    5    2
Name77   Surname77         8    7    0    9    8    1
Name78   Surname78         1    2    6    3    9    8
Name79   Surname79         3    7    2    8    9    7
Name80   Surname80         3    2    5    9    1    4
Name81   Surname81         7    0    8    3    5    1
Name82   Surname82         9    3    0    5    2    3
Name83   Surname83         1    7    8    1    6    5
Name84   Surname84         2    9    6    3    6    9
Name85   Surname85         6    9    2    2    3    7
Name86   Surname86         9    2    0    8    1    1
Name87   Surname87         4    8    9    3    9    1
Name88   Surname88         6    8    7    7    0    6
Name89   Surname89         2    4    3    0    4    9
Name90   Surname90         4    9    8    0    1    8
Name91   Surname91         8    9    6    9    1    0
Name92   Surname92         0    8    5    0    1    1
Name93   Surname93         9    6    2    4    3    6
Name94   Surname94         8    5    5    0    8    3
Name95   Surname95         4    6    3    6    0    9
Name96   Surname96         4    6    5    6    7    5
Name97   Surname97         2    5    3    7    0    1
Name98   Surname98         7    8    5    4    7    7
Name99   Surname99         1    8    8    4    4    8
Name100   Surname100         1    8    0    9    9    9
Name101   Surname101         0    1    8    7    3    7
